ID,CLASS,GROUP,OBSTIMESECS,TOTAL_PLAY,MONTHS,PLAY.P
rme,I,AGA,510000,8655,4,1.697058824
vrd,I,AGA,66000,420,4,0.636363636
rds,J,AGA,612000,14247,7,2.327941176
rxy,I,AGA,90667,4590,7,5.062481388
sbt,I,AGA,184696,6515,7,3.527418027
cht,I,AGA,187200,1260,9,0.673076923
ams,I,AGA,416800,5800,12,1.391554702
amr,I,AGA,108800,120,16,0.110294118
nnv,J,AGA,496800,19925,16,4.010668277
rss,I,AGA,208800,5485,19,2.626915709
amt,I,AGA,416800,1020,26,0.244721689
vlz,J,AGA,198000,1190,30,0.601010101
rby,J,AGA,303300,8340,33,2.74975272
sfd,J,AGA,112400,2350,33,2.090747331
rod,f,AGA,303300,1310,50,0.431915595
rom,f,AGA,612000,7920,50,1.294117647
azt,f,AGA,331200,3990,53,1.204710145
sal,f,AGA,212400,2790,54,1.313559322
pin,m,AGA,342000,3383,63,0.989181287
sep,f,AGA,136800,2580,65,1.885964912
rbt,m,AGA,313200,2625,67,0.838122605
sbs,m,AGA,374400,530,74,0.141559829
nfa,m,AGA,421200,1845,77,0.438034188
vci,m,AGA,324000,1550,78,0.478395062
pic,m,AGA,338400,677,80,0.200059102
rxa,f,AGA,208800,2655,87,1.271551724
niy,m,AGA,252000,1400,90,0.555555556
ven,f,AGA,187200,2425,93,1.295405983
pir,m,AGA,288000,2515,95,0.873263889
chu,m,AGA,176040,725,97,0.411838219
stg,m,AGA,378000,1615,103,0.427248677
nio,m,AGA,165600,665,104,0.401570048
cri,m,AGA,75600,360,116,0.476190476
roc,j,PLA,1080000,37578,28,3.479444444
bat,i,PLA,1080000,36765,33,3.404166667
lulu,i,PLA,1080000,29062,16,2.690925926
lut,m,PLA,1080000,2255,71,0.208796296
