ADULT ID,SEX,SITE,SUBSP,GR,AREA,DENS,FEED,FEM,MAL,ADULTS,IMM,ADULT.PREF
amp,f,AGA,mexicana,24,8.3,9.5,0.21,14,5,19,4,-0.087011377
amr,f,AGA,mexicana,24,8.3,9.5,0.29,12,6,18,5,-5.748149102
azt,f,AGA,mexicana,24,8.3,9.5,0.34,12,6,18,5,-0.840783179
cha,f,AGA,mexicana,24,8.3,9.5,0.23,13,7,20,5,0.240535294
nin,f,AGA,mexicana,23,8.3,9.5,0.18,12,5,17,5,-0.911836382
nue,f,AGA,mexicana,23,8.3,9.5,0.1,12,5,17,5,0.287682072
rod,f,AGA,mexicana,24,8.3,9.5,0.22,12,5,17,6,1.15923691
roj,f,AGA,mexicana,19,8.3,9.5,0.29,12,5,17,5,-1.85629799
rom,f,AGA,mexicana,23,8.3,9.5,0.25,12,5,17,5,-0.470003629
rxa,f,AGA,mexicana,24,8.3,9.5,0.21,13,4,17,5,-1.686398954
sal,f,AGA,mexicana,24,8.3,9.5,0.24,13,5,18,5,1.240077809
sep,f,AGA,mexicana,23,8.3,9.5,0.21,13,7,20,5,-0.447697872
ven,f,AGA,mexicana,23,8.3,9.5,0.43,12,7,19,5,-0.405465108
ver,f,AGA,mexicana,21,8.3,9.5,0.39,12,5,17,5,-0.246860078
chu,m,AGA,mexicana,20,8.3,9.5,0.29,12,5,17,5,0.068992871
cri,m,AGA,mexicana,24,8.3,9.5,0.28,12,8,20,5,1.405838957
nfa,m,AGA,mexicana,24,8.3,9.5,0.21,12,6,18,5,0.162518929
nio,m,AGA,mexicana,25,8.3,9.5,0.7,12,7,19,7,-1.16760516
niy,m,AGA,mexicana,20,8.3,9.5,0.27,12,6,18,5,0.162518929
pic,m,AGA,mexicana,24,8.3,9.5,0.36,12,6,18,6,1.261131218
pin,m,AGA,mexicana,23,8.3,9.5,0.16,12,6,18,5,-0.348306694
pir,m,AGA,mexicana,22,8.3,9.5,0.03,12,6,18,5,-0.818310324
rbt,m,AGA,mexicana,24,8.3,9.5,0.16,12,6,18,5,0.211309094
sbs,m,AGA,mexicana,23,8.3,9.5,0.29,12,6,18,5,-0.887303195
stg,m,AGA,mexicana,24,8.3,9.5,0.4,12,6,18,6,2.17742195
vci,m,AGA,mexicana,24,8.3,9.5,0.34,12,7,19,6,-0.646627165
fd,f,CH,palliata,13,10800,0.079,0.19,5,3,8,5,-0.081579987
lc,f,CH,palliata,13,10800,0.079,0.19,5,3,8,5,-0.354821375
ln,f,CH,palliata,13,10800,0.079,0.19,5,3,8,5,0.149035579
rs,f,CH,palliata,13,10800,0.079,0.19,5,3,8,5,0.182321557
sv,f,CH,palliata,13,10800,0.079,0.19,5,3,8,5,0.20714321
chi,m,CH,palliata,13,10800,0.079,0.19,5,3,8,5,-0.537142932
cp,m,CH,palliata,13,10800,0.079,0.19,5,3,8,5,0.310154928
ll,m,CH,palliata,13,10800,0.079,0.19,5,3,8,5,-1.791759469
bl,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,0
cl,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,-0.881199412
cria,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,0.451985124
doa,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,0.044451763
gt,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,2.564949357
pl,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,1.945910149
yz,f,CP,palliata,13,10800,0.079,0.29,7,2,9,4,1.189584067
dr,m,CP,palliata,13,10800,0.079,0.29,7,2,9,4,0.587786665
el,m,CP,palliata,13,10800,0.079,0.29,7,2,9,4,3.113515309
an,f,LIZ,mexicana,6,1.3,4.6,0.181666667,4,1,5,1,-0.021053409
elp,f,LIZ,mexicana,6,1.3,4.6,0.231833333,4,1,5,1,-0.127339422
liz,f,LIZ,mexicana,6,1.3,4.6,0.248,4,1,5,1,-0.875468737
so,f,LIZ,mexicana,6,1.3,4.6,0.333333333,4,1,5,1,0.78845736
ch,m,LIZ,mexicana,6,1.3,4.6,0.205555556,4,1,5,1,0.15415068
ma,f,PLA,mexicana,7,56,0.48,0.378333333,2,2,4,3,-0.904456274
mic,f,PLA,mexicana,7,56,0.48,0.297142857,2,2,4,3,-0.910211686
do,m,PLA,mexicana,7,56,0.48,0.21,2,2,4,3,-0.820980552
lt,m,PLA,mexicana,7,56,0.48,0.282708333,2,2,4,3,-1.098612289
at,f,SN,palliata,7,10800,0.079,0.2,3,1,4,2,-0.287682072
mi,f,SN,palliata,7,10800,0.079,0.2,3,1,4,2,0.510825624
vn,f,SN,palliata,7,10800,0.079,0.2,3,1,4,2,-0.074107972
vv,f,SN,palliata,7,10800,0.079,0.2,3,1,4,2,-1.686398954
ze,m,SN,palliata,7,10800,0.079,0.2,3,1,4,2,-0.575364145
